dest_state_nm_1,AIRLINE
Alabama,ExpressJet Airlines
Alaska,Alaska Airlines
Arizona,US Airways
Arkansas,Envoy Air
California,Southwest Airlines
Colorado,Southwest Airlines
Connecticut,Southwest Airlines
Delaware,Frontier Airlines
Florida,Delta Air Lines
Georgia,Delta Air Lines
Hawaii,Hawaiian Airlines
Idaho,SkyWest Airlines
Illinois,Southwest Airlines
Indiana,Endeavor Air
Iowa,Envoy Air
Kansas,Envoy Air
Kentucky,Endeavor Air
Louisiana,ExpressJet Airlines
Maine,ExpressJet Airlines
Maryland,Southwest Airlines
Massachusetts,JetBlue Airways
Michigan,Delta Air Lines
Minnesota,Delta Air Lines
Mississippi,ExpressJet Airlines
Missouri,Southwest Airlines
Montana,SkyWest Airlines
Nebraska,ExpressJet Airlines
Nevada,Southwest Airlines
NewHampshire,Southwest Airlines
NewJersey,ExpressJet Airlines
NewMexico,Southwest Airlines
NewYork,Delta Air Lines
NorthCarolina,US Airways
NorthDakota,SkyWest Airlines
Ohio,ExpressJet Airlines
Oklahoma,Southwest Airlines
Oregon,SkyWest Airlines
Pennsylvania,US Airways
RhodeIsland,Southwest Airlines
SouthCarolina,ExpressJet Airlines
SouthDakota,SkyWest Airlines
Tennessee,ExpressJet Airlines
Texas,American Airlines
Utah,Delta Air Lines
Vermont,ExpressJet Airlines
Virginia,ExpressJet Airlines
Washington,Alaska Airlines
WestVirginia,ExpressJet Airlines
Wisconsin,ExpressJet Airlines
Wyoming,SkyWest Airlines
