ORIGIN_STATE_NM,DEST_STATE_NM
Alabama,Texas
Alaska,Alaska
Arizona,California
Arkansas,Texas
California,California
Colorado,California
Connecticut,Florida
Delaware,Florida
Florida,NewYork
Georgia,Florida
Hawaii,Hawaii
Idaho,California
Illinois,NewYork
Indiana,Florida
Iowa,Illinois
Kansas,Texas
Kentucky,Illinois
Louisiana,Texas
Maine,NewYork
Maryland,Florida
Massachusetts,Florida
Michigan,NewYork
Minnesota,Illinois
Mississippi,Texas
Missouri,Texas
Montana,Utah
Nebraska,Illinois
Nevada,California
NewHampshire,Maryland
NewJersey,Florida
NewMexico,Texas
NewYork,Florida
NorthCarolina,Florida
NorthDakota,Illinois
Ohio,Illinois
Oklahoma,Texas
Oregon,California
Pennsylvania,Florida
RhodeIsland,Florida
SouthCarolina,Georgia
SouthDakota,Illinois
Tennessee,Texas
Texas,Texas
Utah,California
Vermont,NewYork
Virginia,Florida
Washington,California
WestVirginia,Georgia
Wisconsin,Georgia
Wyoming,Utah
