DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,79.0
Alaska        ,63.0
Arizona       ,365.0
Arkansa       ,13.0
Arkansas      ,62.0
Califor       ,352.0
California    ,1380.0
Colorad       ,122.0
Colorado      ,345.0
Connect       ,6.0
Connecticu    ,24.0
Connecticut   ,26.0
Delaware      ,1.0
Florida       ,1181.0
Georgia       ,478.0
Hawaii        ,116.0
Idaho         ,50.0
Illinoi       ,132.0
Illinois      ,574.0
Indiana       ,127.0
Iowa          ,72.0
Kansas        ,38.0
Kentuck       ,17.0
Kentucky      ,102.0
Louisia       ,23.0
Louisiana     ,153.0
Maine         ,19.0
Marylan       ,29.0
Maryland      ,152.0
Massach       ,40.0
Massachuse    ,97.0
Massachusetts ,118.0
Michiga       ,56.0
Michigan      ,240.0
Minneso       ,58.0
Minnesota     ,200.0
Mississ       ,5.0
Mississipp    ,9.0
Mississippi   ,19.0
Missour       ,45.0
Missouri      ,220.0
Montana       ,40.0
Nebrask       ,15.0
Nebraska      ,59.0
Nevada        ,329.0
New Ham       ,3.0
New Hampsh    ,7.0
New Hampshire ,11.0
New Jer       ,45.0
New Jersey    ,286.0
New Mex       ,15.0
New Mexico    ,55.0
New Yor       ,85.0
New York      ,581.0
North C       ,53.0
North Caro    ,137.0
North Carolina,197.0
North D       ,14.0
North Dako    ,18.0
North Dakota  ,21.0
Ohio          ,206.0
Oklahom       ,25.0
Oklahoma      ,90.0
Oregon        ,118.0
Pennsyl       ,39.0
Pennsylvan    ,114.0
Pennsylvania  ,143.0
Puerto        ,22.0
Puerto Ric    ,34.0
Puerto Rico   ,34.0
Rhode I       ,6.0
Rhode Isla    ,16.0
Rhode Island  ,16.0
South C       ,10.0
South Caro    ,24.0
South Carolina,47.0
South D       ,9.0
South Dako    ,11.0
South Dakota  ,13.0
Tenness       ,29.0
Tennessee     ,197.0
Texas         ,1216.0
U.S. Pa       ,0.0
U.S. Pacif    ,0.0
U.S. Pacific T,0.0
U.S. Vi       ,0.0
U.S. Virgi    ,1.0
U.S. Virgin Is,3.0
Utah          ,186.0
Vermont       ,9.0
Virgini       ,58.0
Virginia      ,314.0
Washing       ,55.0
Washington    ,221.0
West Vi       ,1.0
West Virgi    ,2.0
West Virginia ,5.0
Wiscons       ,33.0
Wisconsin     ,143.0
Wyoming       ,21.0
